127.0.0.1, 2019-09-08 00:40:22, GET, /movies/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.112698
127.0.0.1, 2019-09-08 00:40:22, GET, /movies/static/js/jquery.js, HTTP/1.1, 200, 0.198469
127.0.0.1, 2019-09-08 00:40:22, GET, /movies/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.007960
127.0.0.1, 2019-09-08 00:40:23, GET, /movies/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2019-09-08 00:40:23, GET, /movies/static/images/favicon.ico, HTTP/1.1, 200, 0.001995
127.0.0.1, 2019-09-08 00:40:30, GET, /movies/default/call/json/api, HTTP/1.1, 404, 0.019977
127.0.0.1, 2019-09-08 00:40:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2019-09-08 00:40:48, GET, /movies/default/call/json/api, HTTP/1.1, 200, 0.016952
127.0.0.1, 2019-09-08 00:40:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000977
127.0.0.1, 2019-09-08 00:41:01, GET, /movies/default/call/json/api, HTTP/1.1, 500, 0.270085
127.0.0.1, 2019-09-08 00:41:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000995
127.0.0.1, 2019-09-08 00:41:03, GET, /admin/default/ticket/movies/127.0.0.1.2019-09-08.00-41-01.73aad7f9-6e10-4121-be97-c4e37bce970b, HTTP/1.1, 200, 0.254765
127.0.0.1, 2019-09-08 00:41:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 00:48:51, GET, /movies/default/call/json/api, HTTP/1.1, 404, 0.020976
127.0.0.1, 2019-09-08 00:48:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 00:48:59, GET, /movies/default/call/json/myapi, HTTP/1.1, 500, 0.086766
127.0.0.1, 2019-09-08 00:48:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 00:49:08, GET, /movies/default/call/json/myapi, HTTP/1.1, 200, 0.019948
127.0.0.1, 2019-09-08 00:49:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 00:50:04, GET, /movies/default/call/json/myapi, HTTP/1.1, 200, 0.012965
127.0.0.1, 2019-09-08 00:50:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 00:50:14, GET, /movies/default/call/json/myapi, HTTP/1.1, 200, 0.018962
127.0.0.1, 2019-09-08 00:50:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 13:44:11, GET, /static/movies/index.html, HTTP/1.1, 404, 0.008970
127.0.0.1, 2019-09-08 13:44:16, GET, /movies/default/call/json/myapi, HTTP/1.1, 200, 0.380916
127.0.0.1, 2019-09-08 13:44:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2019-09-08 17:51:35, GET, /movies/default/call/json/myapi, HTTP/1.1, 500, 0.436833
127.0.0.1, 2019-09-08 17:51:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
127.0.0.1, 2019-09-08 17:51:38, GET, /admin/default/ticket/movies/127.0.0.1.2019-09-08.17-51-35.2a9c1583-f598-470e-9aad-8e02a30c9831, HTTP/1.1, 303, 0.076776
127.0.0.1, 2019-09-08 17:51:38, GET, /admin/default/index, HTTP/1.1, 200, 0.176527
127.0.0.1, 2019-09-08 17:51:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 17:51:40, POST, /admin/default/index, HTTP/1.1, 303, 0.032911
127.0.0.1, 2019-09-08 17:51:40, GET, /admin/default/ticket/movies/127.0.0.1.2019-09-08.17-51-35.2a9c1583-f598-470e-9aad-8e02a30c9831, HTTP/1.1, 200, 0.087756
127.0.0.1, 2019-09-08 17:51:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2019-09-08 17:51:58, GET, /movies/default/call/json/myapi, HTTP/1.1, 500, 0.138629
127.0.0.1, 2019-09-08 17:51:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 17:52:00, GET, /admin/default/ticket/movies/127.0.0.1.2019-09-08.17-51-58.ba714043-f3ed-43b2-a343-43b5069545cf, HTTP/1.1, 200, 0.032942
127.0.0.1, 2019-09-08 17:52:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 17:52:59, GET, /movies/default/call/json/myapi, HTTP/1.1, 500, 12.476190
127.0.0.1, 2019-09-08 17:52:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2019-09-08 17:55:52, GET, /admin/default/ticket/movies/127.0.0.1.2019-09-08.17-52-47.2050a054-020e-4f05-834e-e0b7c4d4e307, HTTP/1.1, 200, 0.049867
127.0.0.1, 2019-09-08 17:55:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2019-09-08 17:56:22, GET, /movies/default/call/json/myapi, HTTP/1.1, 200, 3.233353
127.0.0.1, 2019-09-08 17:56:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000991
127.0.0.1, 2019-09-08 18:14:27, GET, /, HTTP/1.1, 303, 0.000997
127.0.0.1, 2019-09-08 18:14:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.360035
127.0.0.1, 2019-09-08 18:14:28, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.046873
127.0.0.1, 2019-09-08 18:14:28, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.056865
127.0.0.1, 2019-09-08 18:14:28, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.119679
127.0.0.1, 2019-09-08 18:14:28, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.133643
127.0.0.1, 2019-09-08 18:14:28, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.252324
127.0.0.1, 2019-09-08 18:14:28, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.343078
127.0.0.1, 2019-09-08 18:14:28, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.369005
127.0.0.1, 2019-09-08 18:14:28, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.434838
127.0.0.1, 2019-09-08 18:14:28, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.412895
127.0.0.1, 2019-09-08 18:14:28, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2019-09-08 18:15:21, GET, /movies/default/call/json/watched_movies, HTTP/1.1, 404, 0.185505
127.0.0.1, 2019-09-08 18:15:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:15:42, GET, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.221406
127.0.0.1, 2019-09-08 18:15:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:17:46, GET, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.375996
127.0.0.1, 2019-09-08 18:17:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:17:48, GET, /admin/default/ticket/movies/127.0.0.1.2019-09-08.18-17-45.9572a0f1-69bb-45c5-9256-9bd073a4f57f, HTTP/1.1, 200, 0.231390
127.0.0.1, 2019-09-08 18:17:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
127.0.0.1, 2019-09-08 18:18:21, GET, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.304200
127.0.0.1, 2019-09-08 18:18:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-09-08 18:18:22, GET, /admin/default/ticket/movies/127.0.0.1.2019-09-08.18-18-20.310a083a-919e-400e-aa74-59f414426485, HTTP/1.1, 200, 0.047874
127.0.0.1, 2019-09-08 18:18:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
